203
x	y	r	id
0.25	0.25	0.05	1
0.12023304393748085	0.4075345328804104	0.005	-1
0.40752663489997787	0.41947756350187293	0.005	0
0.17132646470270388	0.21450607575905456	0.005	1
0.00530525770523221	0.35489493571581404	0.005	2
0.4758899977201666	0.0734518338694295	0.005	3
0.4149133771281515	0.4698395550277682	0.005	4
0.04302861368211536	0.41336333139839426	0.005	5
0.11537706451484371	0.2793761545613389	0.005	6
0.36857696207418966	0.06404618592569851	0.005	7
0.2971740217351377	0.3772825871254196	0.005	8
0.3237545019378844	0.08543267887871371	0.005	9
0.28682603352476516	0.4664972436228323	0.005	10
0.4022525615978619	0.3492797279666667	0.005	11
0.11795138723822497	0.009836730716377664	0.005	12
0.41651749726406534	0.0252845098343371	0.005	13
0.41331380092925457	0.23030903773676772	0.005	14
0.46027585515380703	0.16389882606053963	0.005	15
0.4852888506398448	0.09516119291366083	0.005	16
0.4384430533817451	0.12729005515597952	0.005	17
0.482620232563318	0.44574044231642934	0.005	18
0.13559710196196026	0.19361312651483017	0.005	19
0.3247947059102991	0.042064697647860944	0.005	20
0.4561241804642003	0.24774689994389826	0.005	21
0.47856605198151553	0.1383824744643368	0.005	22
0.45914534049002814	0.4771640578216223	0.005	23
0.040605140160155546	0.3101765171955151	0.005	24
0.3079911643456252	0.10631930228143328	0.005	25
0.23014075159315303	0.3650867941283488	0.005	26
0.13015308163825368	0.4879265070339073	0.005	27
0.43529417085709304	0.15858250975831387	0.005	28
0.17114815573403924	0.12696484961138907	0.005	29
0.3141530007168433	0.2960140533301468	0.005	30
0.24611250938626614	0.1579224206823392	0.005	31
0.15617944856691088	0.19921839150227671	0.005	32
0.3192148809795442	0.3462023595755099	0.005	33
0.43301288810621646	0.10506644636692897	0.005	34
0.33578434788384914	0.3921744209129943	0.005	35
0.4154569261102046	0.40834426653853834	0.005	36
0.0752215991679328	0.40445044348462034	0.005	37
0.43517825111519187	0.2752535908503568	0.005	38
0.11765221168754805	0.129912027478015	0.005	39
0.31417649030159284	0.38937121083685716	0.005	40
0.23651375827528415	0.4140131351318306	0.005	41
0.37923387088220956	0.2750289116359297	0.005	42
0.05829633290531121	0.28432344763896544	0.005	43
0.43262193084004313	0.026749501538272633	0.005	44
0.3962119333852548	0.009390835848879711	0.005	45
0.152729386172498	0.00641268435188482	0.005	46
0.15914420324240133	0.3199435149240293	0.005	47
0.34235583908186107	0.453466302320452	0.005	48
0.09429309799205711	0.25563126390486546	0.005	49
0.1888453916468751	0.1055439440984032	0.005	50
0.1303781623229879	0.06115963503155443	0.005	51
0.017205261473524427	0.41070063373000454	0.005	52
0.17428428030028897	0.40883447634454817	0.005	53
0.1674421691491957	0.46223504293109496	0.005	54
0.027581221409880428	0.2971483586134188	0.005	55
0.14627728019614136	0.37901840108373835	0.005	56
0.0204383036458593	0.2390191826534161	0.005	57
0.2608356392615746	0.023478077191527058	0.005	58
0.3840375483799851	0.24176413028890847	0.005	59
0.1805403246514123	0.08670628016244743	0.005	60
0.34517604218716136	0.36016809261788874	0.005	61
0.23952882927036723	0.09287369196214008	0.005	62
0.4332291890650967	0.2489851583681926	0.005	63
0.4426631036713274	0.3678965662474139	0.005	64
0.15990360698734313	0.224854913625662	0.005	65
0.011564443915861585	0.20921095568552334	0.005	66
0.14381477652399524	0.036534418297516344	0.005	67
0.02921785355561413	0.4245591233512025	0.005	68
0.2846406981071207	0.33987969057047623	0.005	69
0.4437779599152674	0.4736133897504746	0.005	70
0.093698533172529	0.4628036583494979	0.005	71
0.2997054104282834	0.03735951334130106	0.005	72
0.48002477920175124	0.192204742315727	0.005	73
0.04996826420732718	0.018244695854703563	0.005	74
0.2731277691730503	0.06076786481029622	0.005	75
0.3289984856155473	0.45249468752100375	0.005	76
0.2228018329021727	0.1625866212482762	0.005	77
0.1802697057005494	0.1444174868621553	0.005	78
0.06280287892295759	0.31036275686029346	0.005	79
0.4207608612774667	0.3873410019849235	0.005	80
0.023321494191845902	0.12646121910544653	0.005	81
0.41814719953439344	0.12570716513111244	0.005	82
0.03733129721327869	0.2561419745456982	0.005	83
0.39777001659806827	0.4281024452349281	0.005	84
0.06305472746506734	0.45752658319437617	0.005	85
0.18280784599012007	0.39325329013717936	0.005	86
0.03655982278683425	0.17459175401371166	0.005	87
0.20705801267010657	0.3388695979771026	0.005	88
0.22375065012664214	0.4079630441721351	0.005	89
0.28357221644511993	0.31592561539232056	0.005	90
0.08068663363557704	0.2265351401840129	0.005	91
0.06314501416578215	0.1366272441886079	0.005	92
0.14758621262824229	0.08954734014162694	0.005	93
0.2175205655985306	0.3949659282485005	0.005	94
0.35605124313707825	0.03277216336905801	0.005	95
0.15542883375977817	0.17551608958986792	0.005	96
0.3857191145846212	0.3744548349722039	0.005	97
0.08536740163374335	0.35744921516043054	0.005	98
0.2457980308691386	0.43115611573665985	0.005	99
0.47921537171788803	0.3215183714415948	0.005	100
0.04861742631228799	0.12232160847486898	0.005	101
0.4227595363483213	0.34064761603086213	0.005	102
0.07078319901536127	0.333288126259075	0.005	103
0.17719135958270377	0.4587660659184982	0.005	104
0.3143335766639672	0.28245066938442215	0.005	105
0.07081988629387537	0.021124534644019647	0.005	106
0.08589206750050313	0.06955526902641875	0.005	107
0.07028918874426623	0.2301461967303281	0.005	108
0.1371884660824603	0.40105587111961766	0.005	109
0.4873016873180568	0.30134275624859425	0.005	110
0.1973900568471654	0.4514175888995211	0.005	111
0.04710610923757199	0.4001140239811417	0.005	112
0.3569140422175682	0.31856837339023797	0.005	113
0.21330376536617107	0.3744092002864272	0.005	114
0.06751711687287823	0.21793417626176942	0.005	115
0.21984258273543025	0.31201308716852655	0.005	116
0.09800503295907657	0.12396299873801384	0.005	117
0.43277895594209803	0.23046565489838325	0.005	118
0.44652498685582886	0.32587932642412604	0.005	119
0.3563097713946158	0.30222837102783673	0.005	120
0.4510498263219724	0.39417983508999943	0.005	121
0.15229856086143315	0.13482908235011562	0.005	122
0.45570910242465507	0.13627222809589412	0.005	123
0.08473225782323963	0.20065669972022113	0.005	124
0.22077044251764188	0.14885943894820297	0.005	125
0.09578163328816974	0.3656717454503544	0.005	126
0.16492260274931608	0.24928881671897282	0.005	127
0.03216651549098819	0.051482749921725586	0.005	128
0.02641721723522091	0.09320822632646153	0.005	129
0.35177712874532724	0.20555242129263357	0.005	130
0.2906075955069015	0.40790998280817037	0.005	131
0.10120079692005048	0.20053979319910542	0.005	132
0.44084281700105943	0.01736920689144886	0.005	133
0.40387087168400143	0.3063392229036636	0.005	134
0.10705025165965532	0.17769694083224155	0.005	135
